airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
IndiGo,2019-06-12,Delhi,Cochin,10:35:00,01:30:00,895.0,1,No Info,5883
IndiGo,2019-06-18,Bengaluru,Delhi,10:10:00,13:00:00,170.0,0,No Info,3943
Jet Airways,2019-05-15,Kolkata,Bengaluru,09:35:00,10:55:00,1520.0,1,No Info,14151
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,19:00:00,1395.0,1,In-flight meal not included,10262
IndiGo,2019-05-18,Kolkata,Bengaluru,15:30:00,18:05:00,155.0,0,No Info,4804
IndiGo,2019-05-18,Mumbai,Hyderabad,19:05:00,20:35:00,90.0,0,No Info,2754
Jet Airways,2019-06-03,Delhi,Cochin,19:15:00,19:00:00,1425.0,1,In-flight meal not included,10262
Jet Airways,2019-04-01,Kolkata,Bengaluru,06:30:00,09:20:00,1610.0,1,In-flight meal not included,7064
IndiGo,2019-06-27,Bengaluru,Delhi,18:25:00,21:20:00,175.0,0,No Info,4823
Jet Airways,2019-03-21,Bengaluru,New Delhi,08:55:00,15:15:00,380.0,1,In-flight meal not included,7832
Trujet,2019-03-06,Mumbai,Hyderabad,13:05:00,16:20:00,195.0,1,No Info,4140
IndiGo,2019-03-27,Delhi,Cochin,06:40:00,16:10:00,570.0,1,No Info,6442
Jet Airways,2019-06-03,Delhi,Cochin,15:00:00,04:25:00,805.0,1,No Info,14714
IndiGo,2019-06-27,Delhi,Cochin,02:00:00,07:25:00,325.0,1,No Info,5636
Jet Airways,2019-05-21,Delhi,Cochin,19:30:00,12:35:00,1025.0,2,In-flight meal not included,13029
Jet Airways,2019-06-15,Delhi,Cochin,14:35:00,04:25:00,830.0,2,In-flight meal not included,10919
SpiceJet,2019-03-24,Bengaluru,New Delhi,09:35:00,12:30:00,175.0,0,No Info,6309
IndiGo,2019-05-12,Bengaluru,Delhi,04:00:00,06:50:00,170.0,0,No Info,3943
SpiceJet,2019-03-24,Bengaluru,New Delhi,09:35:00,12:30:00,175.0,0,No check-in baggage included,3873
IndiGo,2019-06-01,Delhi,Cochin,06:50:00,16:10:00,560.0,1,No Info,6442
SpiceJet,2019-06-27,Mumbai,Hyderabad,13:15:00,14:45:00,90.0,0,No check-in baggage included,1965
Air India,2019-03-24,Bengaluru,New Delhi,13:20:00,16:10:00,170.0,0,No Info,7276
